year,College,responses
2010/2011,AS,40
2010/2011,BU,110
2010/2011,CP,6
2010/2011,ED,89
2010/2011,HP,135
2010/2011,KE,0
2010/2011,OP,16
2010/2011,PH,28
2010/2011,TE,100
2011/2012,AS,73
2011/2012,BU,168
2011/2012,CP,13
2011/2012,ED,117
2011/2012,HP,157
2011/2012,KE,0
2011/2012,OP,11
2011/2012,PH,51
2011/2012,TE,191
2012/2013,AS,97
2012/2013,BU,149
2012/2013,CP,12
2012/2013,ED,146
2012/2013,HP,198
2012/2013,KE,53
2012/2013,OP,15
2012/2013,PH,47
2012/2013,TE,163
2013/2014,AS,98
2013/2014,BU,187
2013/2014,CP,4
2013/2014,ED,160
2013/2014,HP,197
2013/2014,KE,47
2013/2014,OP,18
2013/2014,PH,47
2013/2014,TE,156
2014/2015,AS,87
2014/2015,BU,173
2014/2015,CP,11
2014/2015,ED,136
2014/2015,HP,153
2014/2015,KE,30
2014/2015,OP,9
2014/2015,PH,36
2014/2015,TE,165
2015/2016,AS,133
2015/2016,BU,212
2015/2016,CP,4
2015/2016,ED,156
2015/2016,HP,217
2015/2016,KE,92
2015/2016,OP,11
2015/2016,PH,65
2015/2016,TE,186