year,Degree,responses
2010/2011,Associates,74
2010/2011,Bachelors,368
2010/2011,Certificate,4
2010/2011,Graduate,78
2011/2012,Associates,124
2011/2012,Bachelors,500
2011/2012,Certificate,64
2011/2012,Graduate,93
2012/2013,Associates,118
2012/2013,Bachelors,634
2012/2013,Certificate,11
2012/2013,Graduate,117
2013/2014,Associates,102
2013/2014,Bachelors,656
2013/2014,Certificate,11
2013/2014,Graduate,145
2014/2015,Associates,78
2014/2015,Bachelors,612
2014/2015,Certificate,25
2014/2015,Graduate,85
2015/2016,Associates,0
2015/2016,Bachelors,0
2015/2016,Certificate,1056
2015/2016,Graduate,0